AIRPORT,TR_AIRPORT_NAME,TR_CITY_NAME,TR_STATE_NAME,TR_COUNTRY_NAME,TR_WAC,BEGIN_DATE_SOURCE,END_DATE,AIRPORT_REGION,LAT_DEGREES,LAT_MINUTES,LAT_SECONDS,LAT_HEMISPHERE,LATITUDE,LON_DEGREES,LON_MINUTES,LON_SECONDS,LON_HEMISPHERE,LONGITUDE,AIRPORT_ID
ZFA,"Faro, Canada: Faro Airport","Faro, Canada",,Canada,911,12/1/86,,Yukon Territory,62,12,27,N,62.2075,133,22,33,W,-133.3758333,282250
ZEL,"Bella Bella, Canada: Bella Bell","Bella Bella, Canada",,Canada,906,9/1/80,,British Columbia,52,23,12,N,52.38666666,126,35,30,W,-126.5916667,95600
ZCO,"Temuco, Chile: Maquehue","Temuco, Chile",,Chile,324,1/1/50,,Chile,38,45,50,S,-38.76388888,72,38,13,W,-72.63694444,892800
ZCL,"Zacatecas, Mexico: Zacatecas Airport","Zacatecas, Mexico",,Mexico,148,6/1/84,,Mexico,22,53,50,N,22.89722222,102,41,13,W,-102.6869444,995010
ZBX,"Branson, MO: John The Diver","Branson, MO",Missouri,United States of America,64,3/1/93,,Missouri,36,39,6,N,36.65166666,93,20,45,W,-93.34583333,127000
ZBO,"Bowen, Australia: Bowen Airport","Bowen, Australia",,Australia,802,1/1/50,,Australia,20,1,0,S,-20.01666666,148,13,0,E,148.2166667,124900
ZBM,"Bromont, Canada: Bromont Airport","Bromont, Canada",,Canada,941,3/1/76,,Quebec,45,17,25,N,45.29027777,72,44,30,W,-72.74166666,131900
ZBL,"Biloela, Australia: Biloela Airport","Biloela, Australia",,Australia,802,2/1/03,,Queensland,24,24,0,S,-24.4,150,30,0,E,150.5,108700
ZBF,"Bathurst, Canada: Bathurst Airport","Bathurst, Canada",,Canada,946,12/1/91,,New Brunswick,47,37,45,N,47.62916666,65,44,20,W,-65.73888888,88305
ZBE,"Zabreh, Czech Republic: Dolni Benesov","Zabreh, Czech Republic",,Czech Republic,418,3/1/93,,Czech Republic,49,53,0,N,49.88333333,16,52,0,E,16.86666666,994900
ZAZ,"Zaragoza, Spain: Zaragoza Ab","Zaragoza, Spain",,Spain,482,1/1/50,,Spain,41,40,0,N,41.66666666,1,2,20,W,-1.03888888,997400
ZAN,"Paramaribo, Surinam: Zanderij","Paramaribo, Surinam",,Surinam,379,1/1/50,,Surinam,5,27,5,N,5.45138888,55,11,28,W,-55.19111111,681751
ZAM,"Zamboanga, Philippines: Zamboanga Airport","Zamboanga, Philippines",,Philippines,766,1/1/50,,Phil.,6,55,23,N,6.92305555,122,3,32,E,122.0588889,996400
ZAL,"Valdivia, Chile: Las Marias","Valdivia, Chile",,Chile,324,1/1/50,,Chile,39,47,30,S,-39.79166666,73,14,22,W,-73.23944444,938500
ZAH,"Zahedan, Iran: Zahedan Airport","Zahedan, Iran",,Iran,632,1/1/50,,Iran,29,27,43,N,29.46194444,60,54,25,E,60.90694444,996000
ZAG,"Zagreb, Yugoslavia: Zagreb Airport","Zagreb, Yugoslavia",,Yugoslavia,497,1/1/50,6/1/92,Yugoslavia,45,44,35,N,45.74305555,16,4,13,E,16.07027777,995700
ZAG,"Zagreb, Croatia: Zagreb Airport","Zagreb, Croatia",,Croatia,415,9/1/92,,Croatia,45,44,30,N,45.74166666,16,4,13,E,16.07027777,995701
ZAD,"Zadar, Yugoslavia: Zadar Airport","Zadar, Yugoslavia",,Yugoslavia,497,1/1/50,6/1/92,Yugoslavia,44,5,52,N,44.09777777,15,21,24,E,15.35666666,995500
ZAD,"Zadar, Croatia: Zadar Airport","Zadar, Croatia",,Croatia,415,9/1/92,,Croatia,44,5,39,N,44.09416666,15,21,50,E,15.36388888,995501
ZAA,"Alice Arm, Canada: Alice Arm Airport","Alice Arm, Canada",,Canada,906,1/1/50,,British Columbia,55,28,0,N,55.46666666,129,29,0,W,-129.4833333,21100
YZV,"Seven Islands, Canada: Sepi Iles","Seven Islands, Canada",,Canada,941,4/1/76,,Quebec,50,13,0,N,50.21666666,66,17,0,W,-66.28333333,829000
YZV,"Sept Iles, Canada: Sept Island","Sept Iles, Canada",,Canada,941,1/1/50,3/31/76,Quebec,50,13,0,N,50.21666666,66,17,0,W,-66.28333333,829005
YZT,"Port Hardy, Canada: Port Hardy Airport","Port Hardy, Canada",,Canada,906,1/1/50,,British Columbia,50,40,50,N,50.68055555,127,21,50,W,-127.3638889,716900
YZS,"Coral Harbour, Canada: Coral Harbour Airport","Coral Harbour, Canada",,Canada,931,9/1/74,3/1/99,Northwest Territories,64,11,36,N,64.19333333,83,21,34,W,-83.35944444,212800
YZS,"Coral Harbour, Canada: Coral Harbour Airport","Coral Harbour, Canada",,Canada,934,4/1/99,,Nunavut Territory,64,11,36,N,64.19333333,83,21,34,W,-83.35944444,212801
YZR,"Sarnia, Canada: Sarnia Airport","Sarnia, Canada",,Canada,936,1/1/50,,Ontario,42,59,50,N,42.99722222,82,18,40,W,-82.31111111,821600
YZP,"Sandspit, Canada: Sandspit Airport","Sandspit, Canada",,Canada,906,1/1/50,,British Columbia,53,15,16,N,53.25444444,131,48,46,W,-131.8127778,796200
YZH,"Slave Lake, Canada: Slave Lake Airport","Slave Lake, Canada",,Canada,916,12/1/93,,Alberta,55,17,36,N,55.29333333,114,46,42,W,-114.7783333,845350
YZF,"Yellowknife, Canada: Yellowknife Airport","Yellowknife, Canada",,Canada,931,1/1/50,,Northwest Territories,62,28,8,N,62.46888888,114,26,39,W,-114.4441667,990400
YZE,"Gore Bay, Canada: Gore Bay/Manitoulin","Gore Bay, Canada",,Canada,936,6/1/99,,Ontario,45,53,7,N,45.88527777,82,34,4,W,-82.56777777,326500
YYZ,"Toronto, Canada: Pearson International","Toronto, Canada",,Canada,936,1/1/50,,Ontario,43,40,47,N,43.67972222,79,37,30,W,-79.62499999,909000
YYZ,"Pearson, Canada: Pearson Airport","Pearson Airport, Canada",,Canada,936,3/1/84,11/30/02,Ontario,43,40,47,N,43.67972222,79,37,30,W,-79.62499999,909010
YYZ,"International, Canada: Toronto International","International Airport, Canada",,Canada,936,9/1/78,11/30/02,Ontario,43,40,47,N,43.67972222,79,37,30,W,-79.62499999,909001
YYY,"Mont Joli, Canada: Mont Joli Airport","Mont Joli, Canada",,Canada,941,1/1/50,,Quebec,48,36,0,N,48.6,68,12,0,W,-68.2,593900
YYU,"Kapuskasing, Canada: Kapuskasing Canada","Kapuskasing, Canada",,Canada,936,6/1/75,,Ontario,49,24,45,N,49.4125,82,28,15,W,-82.47083333,426900
YYT,"St. John's, Canada: St Johns Canada","St. John's, Canada",,Canada,961,1/1/50,,Newfoundland and Labrador,47,37,1,N,47.61694444,52,45,0,W,-52.75,783100
YYR,"Goose Bay, Canada: Goose","Goose Bay, Canada",,Canada,961,1/1/50,,Newfoundland and Labrador,53,19,0,N,53.31666666,60,25,0,W,-60.41666666,326100
YYQ,"Churchill, Canada: Churchill Airport","Churchill, Canada",,Canada,926,1/1/50,,Manitoba,58,45,0,N,58.75,94,4,0,W,-94.06666666,191800
YYN,"Swift Current, Canada: Swift Current Airport","Swift Current, Canada",,Canada,921,1/1/50,,Saskatchewan,50,17,0,N,50.28333333,107,41,0,W,-107.6833333,867100
YYL,"Lynn Lake, Canada: Lynn Lake Airport","Lynn Lake, Canada",,Canada,926,1/1/50,,Manitoba,56,52,0,N,56.86666666,101,4,0,W,-101.0666667,522000
YYJ,"Victoria, Canada: Victoria International","Victoria, Canada",,Canada,906,1/1/50,,British Columbia,48,38,55,N,48.64861111,123,25,25,W,-123.4236111,946700
YYJ,"International, Canada: Victoria International","International Airport, Canada",,Canada,906,3/1/78,1/31/03,British Columbia,48,38,55,N,48.64861111,123,25,25,W,-123.4236111,946800
YYH,"Spence Bay, Canada: Spence Bay Airport","Spence Bay, Canada",,Canada,931,6/1/89,3/1/99,Northwest Territories,69,32,44,N,69.54555555,93,34,37,W,-93.57694444,852070
YYH,"Spence Bay, Canada: Spence Bay Airport","Spence Bay, Canada",,Canada,934,4/1/99,12/1/99,Nunavut Territory,69,32,44,N,69.54555555,93,34,37,W,-93.57694444,852071
YYH,"Taloyoak, Canada: Taloyoak Airport","Taloyoak, Canada",,Canada,934,3/1/00,,Nunavut Territory,69,32,46,N,69.54611111,93,34,34,W,-93.57611111,876900
YYG,"Charlottetown, Canada: Charlottetown Airport","Charlottetown, Canada",,Canada,956,1/1/50,,Prince Edward Island,46,17,18,N,46.28833333,63,7,47,W,-63.12972222,180600
YYF,"Penticton, Canada: Penticton Airport","Penticton, Canada",,Canada,906,1/1/50,,British Columbia,49,27,53,N,49.46472222,119,36,0,W,-119.6,694100
YYE,"Fort Nelson, Canada: Fort Nelson Airport","Fort Nelson, Canada",,Canada,906,1/1/50,,British Columbia,58,50,0,N,58.83333333,122,35,0,W,-122.5833333,295700
YYD,"Smithers, Canada: Smithers Airport","Smithers, Canada",,Canada,906,1/1/50,,British Columbia,54,49,32,N,54.82555555,127,10,49,W,-127.1802778,846000
YYC,"Calgary, Canada: Calgary International","Calgary, Canada",,Canada,916,1/1/50,,Alberta,51,6,46,N,51.11277777,114,1,11,W,-114.0197222,151200
YYB,"North Bay, Canada: North Bay Airport","North Bay, Canada",,Canada,936,1/1/50,,Ontario,46,21,57,N,46.36583333,79,25,17,W,-79.42138888,646700
YXZ,"Wawa, Canada: Wawa","Wawa, Canada",,Canada,936,9/1/76,,Ontario,47,57,45,N,47.9625,84,47,9,W,-84.78583333,968900
YXY,"Whitehorse, Canada: Whitehorse Canada","Whitehorse, Canada",,Canada,911,1/1/50,,Yukon Territory,60,43,0,N,60.71666666,135,4,0,W,-135.0666667,973300
YXX,"Abbotsford, Canada: Abbotsford Airport","Abbotsford, Canada",,Canada,906,1/1/50,,British Columbia,49,1,26,N,49.02388888,122,21,58,W,-122.3661111,683201
YXU,"London, Canada: Can","London, Canada",,Canada,936,1/1/50,,Ontario,43,2,0,N,43.03333333,81,9,0,W,-81.15,510900
YXT,"Terrace, Canada: Terrace Airport","Terrace, Canada",,Canada,906,1/1/50,,British Columbia,54,27,56,N,54.46555555,128,34,28,W,-128.5744444,894600
YXS,"Prince George, Canada: Prince George Airport","Prince George, Canada",,Canada,906,1/1/50,,British Columbia,53,53,30,N,53.89166666,122,40,30,W,-122.675,728500
YXR,"Earlton, Canada: Earlton Airport","Earlton, Canada",,Canada,936,1/1/50,,Ontario,47,41,50,N,47.69722222,79,51,7,W,-79.85194444,259600
YXP,"Pangnirtung, Canada: Pangnirtung Airport","Pangnirtung, Canada",,Canada,931,12/1/81,3/1/99,Northwest Territories,66,8,43,N,66.14527777,65,42,47,W,-65.71305555,680100
YXP,"Pangnirtung, Canada: Pangnirtung Airport","Pangnirtung, Canada",,Canada,934,4/1/99,,Nunavut Territory,66,8,43,N,66.14527777,65,42,47,W,-65.71305555,680101
YXL,"Sioux Lookout, Canada: Sioux Lookout Airport","Sioux Lookout, Canada",,Canada,936,1/1/50,,Ontario,50,7,0,N,50.11666666,91,54,10,W,-91.90277777,843200
YXK,"Rimouski, Canada: Rimouski Airport","Rimouski, Canada",,Canada,941,9/1/99,,Quebec,48,28,41,N,48.47805555,68,29,49,W,-68.49694444,759100
YXJ,"Fort St. John, Canada: Fort St John","Fort St. John, Canada",,Canada,906,1/1/50,,British Columbia,56,14,0,N,56.23333333,120,44,0,W,-120.7333333,296700
YXH,"Medicine Hat, Canada: Medicine Hat Airport","Medicine Hat, Canada",,Canada,916,1/1/50,,Alberta,50,0,57,N,50.01583333,110,43,15,W,-110.7208333,568800
YXE,"Saskatoon, Canada: John G Diefenbaker International","Saskatoon, Canada",,Canada,921,1/1/50,,Saskatchewan,52,10,0,N,52.16666666,106,41,0,W,-106.6833333,821900
YXD,"Edmonton, Canada: Industrial","Edmonton, Canada",,Canada,916,1/1/50,1/31/03,Alberta,53,34,0,N,53.56666666,113,31,0,W,-113.5166667,261601
YXD,"Edmonton, Canada: Edmonton Municipal","Edmonton, Canada",,Canada,916,3/1/79,,Alberta,53,34,20,N,53.57222222,113,30,48,W,-113.5133333,261610
YXC,"Cranbrook, Canada: Cranbrook Airport","Cranbrook, Canada",,Canada,906,1/1/50,,British Columbia,49,32,0,N,49.53333333,115,46,0,W,-115.7666667,221400
YWY,"Wrigley, Canada: Wrigley Airport","Wrigley, Canada",,Canada,931,1/1/50,,Northwest Territories,63,12,38,N,63.21055555,123,26,19,W,-123.4386111,983800
YWR,"White River, Canada: White River Airport","White River, Canada",,Canada,936,3/1/92,,Ontario,48,35,0,N,48.58333333,85,15,0,W,-85.25,973930
YWO,"Lupin, Canada: Lupin Airport","Lupin, Canada",,Canada,934,4/1/99,,Nunavut Territory,65,45,33,N,65.75916666,111,15,5,W,-111.2513889,520301
YWL,"Williams Lake, Canada: Williams Lake Airport","Williams Lake, Canada",,Canada,906,1/1/50,,British Columbia,52,11,5,N,52.18472222,122,2,40,W,-122.0444444,976500
YWK,"Wabush, Canada: Wabush Airport","Wabush, Canada",,Canada,961,1/1/50,,Newfoundland and Labrador,52,55,21,N,52.92249999,66,52,30,W,-66.87499999,957800
YWJ,"Deline, Canada: Deline Airport","Deline, Canada",,Canada,931,12/1/99,,Northwest Territories,65,11,33,N,65.19249999,123,25,44,W,-123.4288889,239350
YWJ,"Fort Franklin, Canada: Ft Fr. Ice Strip","Fort Franklin, Canada",,Canada,931,9/1/75,9/1/99,Northwest Territories,65,11,0,N,65.18333333,123,25,0,W,-123.4166667,292500
YWH,Victoria: Victoria Inner Harbour Spb,Victoria,,,0,6/1/85,6/1/89,Bc,48,25,0,N,48.41666666,123,28,0,W,-123.4666667,948050
YWH,"Victoria, Canada: Inner Harbour Sea Plane Base","Victoria, Canada",,Canada,906,6/1/79,,British Columbia,48,39,18,N,48.655,123,28,0,W,-123.4666667,946710
